from,to,relation
fcb,bl,3
fcb1,gelj,1
fcb1,fcb,2
fcb2,vafc,1
fcb2,fcb,2
fcb4,aja,1
fcb4,fcb,2
fcb5,lil,1
fcb5,fcb,2
fcb6,vfbj,1
fcb6,fcb,2
fcb7,ars,1
fcb7,fcb,2
fcb8,bocj,1
fcb8,fcb,2
fcb10,gelj,1
fcb10,fcb,2
fcb11,psg,1
fcb11,fcb,2
fcb13,hsv,1
fcb13,fcb,2
fcb14,fcbj,1
fcb14,fcb,2
fcb17,foot,1
fcb17,fcb,2
fcb19,vanw,1
fcb19,fcb,2
fcb20,met,1
fcb20,fcb,2
fcb21,atm,1
fcb21,fcb,2
fcb22,ben,1
fcb22,fcb,2
fcb23,aja,1
fcb23,fcb,2
fcb25,fcbj,1
fcb25,fcb,2
fcb26,vfbj,1
fcb26,fcb,2
fcb27,bas,1
fcb27,fcb,2
fcb38,aja,1
fcb38,fcb,2
fcb39,ren,1
fcb39,fcb,2
fcb40,aja,1
fcb40,fcb,2
fcb42,fcbj,1
fcb42,fcb,2
fcb44,fcbj,1
fcb44,fcb,2
fcu,bl,3
fcu1,fcu,2
fcu1,hors,1
fcu2,fcu,2
fcu2,stab,1
fcu3,fcu,2
fcu3,wobj,1
fcu4,fcu,2
fcu4,prt,1
fcu5,fcu,2
fcu5,aja,1
fcu7,fcu,2
fcu7,hsv,1
fcu8,fcu,2
fcu8,vfbj,1
fcu11,fcu,2
fcu11,nied,1
fcu13,fcu,2
fcu13,mtk,1
fcu14,fcu,2
fcu14,wobj,1
fcu16,fcu,2
fcu16,fcuj,1
fcu17,fcu,2
fcu17,svwj,1
fcu18,fcu,2
fcu18,nkd,1
fcu19,fcu,2
fcu19,uha,1
fcu20,fcu,2
fcu20,asco,1
fcu23,fcu,2
fcu23,han,1
fcu25,fcu,2
fcu25,vfbj,1
fcu26,fcu,2
fcu26,soc,1
fcu27,fcu,2
fcu27,aja,1
fcu28,fcu,2
fcu28,hori,1
fcu30,fcu,2
fcu30,rwer,1
fcu31,fcu,2
fcu31,wobj,1
fcu32,fcu,2
fcu32,fcbj,1
fcu37,fcu,2
fcu37,fck,1
fcu40,fcu,2
fcu40,fur,1
fcu45,fcu,2
fcu45,reim,1
rbl,bl,3
rbl1,rbl,2
rbl1,mtk,1
rbl2,rbl,2
rbl2,stra,1
rbl4,rbl,2
rbl4,fck,1
rbl7,rbl,2
rbl7,bar,1
rbl8,rbl,2
rbl8,bama,1
rbl9,lyn,1
rbl9,rbl,2
rbl10,sun,1
rbl10,rbl,2
rbl11,vfbj,1
rbl11,rbl,2
rbl13,hoed,1
rbl13,rbl,2
rbl16,bocj,1
rbl16,rbl,2
rbl17,rbs,1
rbl17,rbl,2
rbl18,psg,1
rbl18,rbl,2
rbl19,prt,1
rbl19,rbl,2
rbl21,bmgj,1
rbl21,rbl,2
rbl22,fur,1
rbl22,rbl,2
rbl23,han,1
rbl23,rbl,2
rbl24,rbs,1
rbl24,rbl,2
rbl25,rblj,1
rbl25,rbl,2
rbl27,rbs,1
rbl27,rbl,2
rbl32,zag,1
rbl32,rbl,2
rbl37,asm,1
rbl37,rbl,2
rbl39,levj,1
rbl39,rbl,2
rbl44,levj,1
rbl44,rbl,2
bvb,bl,3
bvb1,gcz,1
bvb2,bar,1
bvb4,scfj,1
bvb6,koej,1
bvb7,nyfc,1
bvb8,bmgj,1
bvb9,aux,1
bvb11,rwa,1
bvb13,caen,1
bvb14,bscj,1
bvb15,fcbj,1
bvb17,mu60,1
bvb18,bvbj,1
bvb19,wobj,1
bvb20,niz,1
bvb21,ars,1
bvb22,bir,1
bvb23,fcbj,1
bvb24,rev,1
bvb25,tsgj,1
bvb26,vik,1
bvb27,uha,1
bvb30,bvbj,1
bvb33,hsv,1
bvb35,levj,1
bvb36,bvbj,1
bvb43,bvbj,1
bvb47,vfra,1
bvb1,bvb,2
bvb2,bvb,2
bvb4,bvb,2
bvb6,bvb,2
bvb7,bvb,2
bvb8,bvb,2
bvb9,bvb,2
bvb11,bvb,2
bvb13,bvb,2
bvb14,bvb,2
bvb15,bvb,2
bvb17,bvb,2
bvb18,bvb,2
bvb19,bvb,2
bvb20,bvb,2
bvb21,bvb,2
bvb22,bvb,2
bvb23,bvb,2
bvb24,bvb,2
bvb25,bvb,2
bvb26,bvb,2
bvb27,bvb,2
bvb30,bvb,2
bvb33,bvb,2
bvb35,bvb,2
bvb36,bvb,2
bvb43,bvb,2
bvb47,bvb,2
scf,bl,3
scf1,burg,1
scf3,rma,1
scf5,tsgj,1
scf7,scfj,1
scf8,svwj,1
scf9,blum,1
scf11,have,1
scf14,scfj,1
scf17,bonn,1
scf18,czj,1
scf22,pus,1
scf23,scfj,1
scf25,met,1
scf26,aaa,1
scf27,scfj,1
scf28,scfj,1
scf29,fcbj,1
scf30,scfj,1
scf32,ksc,1
scf33,scfj,1
scf38,svka,1
scf42,gamb,1
scf1,scf,2
scf3,scf,2
scf5,scf,2
scf7,scf,2
scf8,scf,2
scf9,scf,2
scf11,scf,2
scf14,scf,2
scf17,scf,2
scf18,scf,2
scf22,scf,2
scf23,scf,2
scf25,scf,2
scf26,scf,2
scf27,scf,2
scf28,scf,2
scf29,scf,2
scf30,scf,2
scf32,scf,2
scf33,scf,2
scf38,scf,2
scf42,scf,2
sge,bl,3
sge1,fck,1
sge2,aux,1
sge5,rij,1
sge6,spli,1
sge8,fcz,1
sge9,nan,1
sge11,hsv,1
sge15,hhs,1
sge17,off,1
sge18,asm,1
sge19,cal,1
sge20,fhs,1
sge21,cac,1
sge22,sgej,1
sge24,ben,1
sge25,bmgj,1
sge26,psg,1
sge27,bvbj,1
sge28,fcbj,1
sge29,bro,1
sge31,stk,1
sge32,gelj,1
sge35,saop,1
sge36,bvbj,1
sge40,heid,1
sge1,sge,2
sge2,sge,2
sge5,sge,2
sge6,sge,2
sge8,sge,2
sge9,sge,2
sge11,sge,2
sge15,sge,2
sge17,sge,2
sge18,sge,2
sge19,sge,2
sge20,sge,2
sge21,sge,2
sge22,sge,2
sge24,sge,2
sge25,sge,2
sge26,sge,2
sge27,sge,2
sge28,sge,2
sge29,sge,2
sge31,sge,2
sge32,sge,2
sge35,sge,2
sge36,sge,2
sge40,sge,2
wob,bl,3
wob1,krc,1
wob1,wob,2
wob2,mu60,1
wob2,wob,2
wob3,and,1
wob3,wob,2
wob4,soc,1
wob4,wob,2
wob5,vol,1
wob5,wob,2
wob6,atpr,1
wob6,wob,2
wob7,sgej,1
wob7,wob,2
wob10,manc,1
wob10,wob,2
wob12,twl,1
wob12,wob,2
wob16,lech,1
wob16,wob,2
wob20,fsvj,1
wob20,wob,2
wob22,manc,1
wob22,wob,2
wob23,kop,1
wob23,wob,2
wob27,wobj,1
wob27,wob,2
wob29,asse,1
wob29,wob,2
wob31,koej,1
wob31,wob,2
wob32,maff,1
wob32,wob,2
wob33,wad,1
wob33,wob,2
wob38,zag,1
wob38,wob,2
wob39,awie,1
wob39,wob,2
wob40,dcu,1
wob40,wob,2
bmg,bl,3
bmg1,luz,1
bmg1,bmg,2
bmg3,kaw,1
bmg3,bmg,2
bmg4,psg,1
bmg4,bmg,2
bmg5,gelj,1
bmg5,bmg,2
bmg6,levj,1
bmg6,bmg,2
bmg7,bmgj,1
bmg7,bmg,2
bmg8,mu60,1
bmg8,bmg,2
bmg10,soc,1
bmg10,bmg,2
bmg11,rbs,1
bmg11,bmg,2
bmg13,ksc,1
bmg13,bmg,2
bmg14,ol,1
bmg14,bmg,2
bmg17,tou,1
bmg17,bmg,2
bmg18,rbs,1
bmg18,bmg,2
bmg19,tou,1
bmg19,bmg,2
bmg20,bscj,1
bmg20,bmg,2
bmg21,fck,1
bmg21,bmg,2
bmg23,tsgj,1
bmg23,bmg,2
bmg24,bmgj,1
bmg24,bmg,2
bmg25,pac,1
bmg25,bmg,2
bmg29,nyfc,1
bmg29,bmg,2
bmg30,fcz,1
bmg30,bmg,2
bmg32,mu60,1
bmg32,bmg,2
bmg34,bmgj,1
bmg34,bmg,2
bmg38,bmgj,1
bmg38,bmg,2
bmg41,bmgj,1
bmg41,bmg,2
lev,bl,3
lev1,tps,1
lev1,lev,2
lev3,ind,1
lev3,lev,2
lev4,hsv,1
lev4,lev,2
lev5,aja,1
lev5,lev,2
lev6,asec,1
lev6,lev,2
lev8,bscj,1
lev8,lev,2
lev9,sep,1
lev9,lev,2
lev10,bvbj,1
lev10,lev,2
lev11,tsgj,1
lev11,lev,2
lev12,leix,1
lev12,lev,2
lev14,spra,1
lev14,lev,2
lev17,cfc,1
lev17,lev,2
lev19,psg,1
lev19,lev,2
lev20,cob,1
lev20,lev,2
lev21,tou,1
lev21,lev,2
lev22,hee,1
lev22,lev,2
lev23,spra,1
lev23,lev,2
lev24,manu,1
lev24,lev,2
lev25,rivp,1
lev25,lev,2
lev27,koej,1
lev27,lev,2
lev30,manc,1
lev30,lev,2
lev32,levj,1
lev32,lev,2
lev38,ebs,1
lev38,lev,2
lev40,tor,1
lev40,lev,2
svw,bl,3
svw1,ostr,1
svw1,svw,2
svw3,sgej,1
svw3,svw,2
svw4,fcn,1
svw4,svw,2
svw5,bvbj,1
svw5,svw,2
svw6,brab,1
svw6,svw,2
svw7,bvbj,1
svw7,svw,2
svw8,koej,1
svw8,svw,2
svw10,cott,1
svw10,svw,2
svw11,svwj,1
svw11,svw,2
svw13,tot,1
svw13,svw,2
svw17,scfj,1
svw17,svw,2
svw19,fcaj,1
svw19,svw,2
svw20,graz,1
svw20,svw,2
svw21,svwj,1
svw21,svw,2
svw22,svwj,1
svw22,svw,2
svw26,der,1
svw26,svw,2
svw27,osna,1
svw27,svw,2
svw28,svwj,1
svw28,svw,2
svw30,uha,1
svw30,svw,2
svw32,fcbj,1
svw32,svw,2
svw34,svwj,1
svw34,svw,2
svw36,hsv,1
svw36,svw,2
svw39,svwj,1
svw39,svw,2
koe,bl,3
