id,name,type,club,youth,debut,nation,peakvalue,league
bmg1,Jonas Omlin,1,bmg,luz,luz,GER,4,1
bmg10,Marcus Thuram,1,bmg,soc,soc,GER,9,1
bmg11,Hannes Wolf,1,bmg,rbs,rbs,GER,5,1
bmg13,Lars Stindl,1,bmg,ksc,ksc,GER,6,1
bmg14,Alassane Plea,1,bmg,ol,ol,GER,9,1
bmg17,Manu Kone,1,bmg,tou,tou,GER,7,1
bmg18,Stefan Lainer,1,bmg,rbs,rbs,GER,6,1
bmg19,Nathan Ngoumou,1,bmg,tou,tou,GER,3,1
bmg20,Luca Netz,1,bmg,bscj,bsc,GER,3,1
bmg21,Tobias Sippel,1,bmg,fck,fck,GER,2,1
bmg23,Jonas Hofmann,1,bmg,tsgj,bvb,GER,6,1
bmg24,Tony Jantschke,1,bmg,bmgj,bmg,GER,4,1
bmg25,Ramy Bensebaini,1,bmg,pac,pac,GER,7,1
bmg29,Joe Scally,1,bmg,nyfc,nyfc,GER,5,1
bmg3,Ko Itakura,1,bmg,kaw,kaw,GER,5,1
bmg30,Nico Elvedi,1,bmg,fcz,fcz,GER,9,1
bmg32,Florian Neuhaus,1,bmg,mu60,mu60,GER,9,1
bmg34,Conor Noss,1,bmg,bmgj,bmg,GER,1,1
bmg38,Yvandro Borges Sanches,1,bmg,bmgj,bmg,GER,1,1
bmg4,Mamadou Doucoure,1,bmg,psg,bmg,GER,1,1
bmg41,Jan Olschowsky,1,bmg,bmgj,bmg,GER,1,1
bmg5,Marvin Friedrich,1,bmg,gelj,gel,GER,4,1
bmg6,Christoph Kramer,1,bmg,levj,boc,GER,5,1
bmg7,Patrick Herrmann,1,bmg,bmgj,bmg,GER,5,1
bmg8,Julian Weigl,1,bmg,mu60,mu60,GER,8,1
boc1,Manuel Riemann,1,boc,burg,burg,GER,1,1
boc10,Philipp Foerster,1,boc,vfbj,svs,GER,2,1
boc11,Takuma Asano,1,boc,yok,sanf,GER,2,1
boc16,Konstantinos Stafylidis,1,boc,paok,paok,GER,2,1
boc17,Gerrit Holtmann,1,boc,svwj,ebs,GER,2,1
boc18,Jordi Osei Tutu,1,boc,ars,boc,GER,1,1
boc2,Cristian Gamboa,1,boc,mli,mli,GER,1,1
boc20,Ivan Ordets,1,boc,shak,shak,GER,2,1
boc21,Michael Esser,1,boc,habi,boc,GER,1,1
boc22,Christopher Antwi Adjei,1,boc,hern,scp,GER,1,1
boc23,Saidy Janko,1,boc,manu,bolt,GER,2,1
boc24,Vasilios Lampropoulos,1,boc,olpi,apo,GER,1,1
boc28,Pierre Kunde,1,boc,atm,gran,GER,4,1
boc29,Moritz Broschinski,1,boc,cott,boc,GER,1,1
boc3,Danilo Soares,1,boc,lust,lust,GER,1,1
boc30,Dominique Heintz,1,boc,fck,fck,GER,4,1
boc31,Keven Schlotterbeck,1,boc,kirc,scf,GER,4,1
boc33,Philipp Hofmann,1,boc,gelj,scp,GER,2,1
boc35,Silvere Ganvoula,1,boc,anne,raja,GER,2,1
boc4,Erhan Masovic,1,boc,cuk,cuk,GER,2,1
boc5,Jacek Goralski,1,boc,zaw,wis,GER,2,1
boc6,Patrick Osterhage,1,boc,bvbj,boc,GER,1,1
boc7,Kevin Stoeger,1,boc,vfbj,fck,GER,3,1
boc8,Anthony Losilla,1,boc,asse,fcc,GER,1,1
boc9,Simon Zoller,1,boc,ksc,ksc,GER,2,1
bsc1,Oliver Christensen,1,bsc,obk,obk,GER,2,1
bsc10,Jean Paul Boetius,1,bsc,feye,feye,GER,3,1
bsc14,Dodi Lukebakio,1,bsc,and,and,GER,7,1
bsc16,Jonjoe Kenny,1,bsc,eve,eve,GER,5,1
bsc17,Maximilian Mittelstaedt,1,bsc,bscj,bsc,GER,5,1
bsc18,Wilfried Kanga,1,bsc,psg,asco,GER,2,1
bsc19,Stefan Jovetic,1,bsc,part,part,GER,8,1
bsc2,Peter Pekarik,1,bsc,dubn,dubn,GER,2,1
bsc20,Marc Oliver Kempf,1,bsc,sgej,sge,GER,4,1
bsc21,Marvin Plattenhardt,1,bsc,fcn,fcn,GER,6,1
bsc23,Marco Richter,1,bsc,fcaj,fca,GER,4,1
bsc24,Jessic Ngankam,1,bsc,bscj,bsc,GER,1,1
bsc27,Kevin Prince Boateng,1,bsc,bscj,bsc,GER,7,1
bsc29,Lucas Tousart,1,bsc,vafc,vafc,GER,7,1
bsc3,Augustin Rogel,1,bsc,naci,naci,GER,2,1
bsc31,Marton Dardai,1,bsc,bscj,bsc,GER,3,1
bsc34,Ivan Sunjic,1,bsc,zag,zag,GER,3,1
bsc39,Derry Scherhant,1,bsc,bscj,bsc,GER,1,1
bsc40,Chidera Ejuke,1,bsc,suco,gomb,GER,4,1
bsc42,Julian Eitschberger,1,bsc,bscj,bsc,GER,1,1
bsc5,Filip Uremovic,1,bsc,cib,cib,GER,3,1
bsc6,Tolga Cigerci,1,bsc,wobj,wob,GER,2,1
bsc7,Florian Niederlechner,1,bsc,eber,uha,GER,4,1
bsc8,Suat Serdar,1,bsc,fsvj,fsv,GER,7,1
bvb1,Gregor Kobel,1,bvb,gcz,tsg,GER,7,1
bvb11,Marco Reus,1,bvb,rwa,rwa,GER,10,1
bvb13,Raphael Guerreiro,1,bvb,caen,caen,GER,9,1
bvb14,Nico Schulz,1,bvb,bscj,bsc,GER,7,1
bvb15,Mats Hummels,1,bvb,fcbj,bvb,GER,11,1
bvb17,Marius Wolf,1,bvb,mu60,mu60,GER,4,1
bvb18,Youssoufa Moukoko,1,bvb,bvbj,bvb,GER,8,1
bvb19,Julian Brandt,1,bvb,wobj,lev,GER,10,1
bvb2,Mateu Morey,1,bvb,bar,bvb,GER,3,1
bvb20,Anthony Modeste,1,bvb,niz,niz,GER,6,1
bvb21,Donyell Malen,1,bvb,ars,psv,GER,8,1
bvb22,Jude Bellingham,1,bvb,bir,bir,GER,12,1
bvb23,Emre Can,1,bvb,fcbj,fcb,GER,9,1
bvb24,Thomas Meunier,1,bvb,rev,rev,GER,9,1
bvb25,Niklas Suele,1,bvb,tsgj,tsg,GER,11,1
bvb26,Julian Ryerson,1,bvb,vik,vik,GER,3,1
bvb27,Karim Adeyemi,1,bvb,uha,rbs,GER,9,1
bvb30,Felix Passlack,1,bvb,bvbj,bvb,GER,2,1
bvb33,Alexander Meyer,1,bvb,hsv,cott,GER,1,1
bvb35,Marcel Lotka,1,bvb,levj,bsc,GER,1,1
bvb36,Tom Rothe,1,bvb,bvbj,bvb,GER,2,1
bvb4,Nico Schlotterbeck,1,bvb,scfj,scf,GER,9,1
bvb43,Jamie Bynoe Gittens,1,bvb,bvbj,bvb,GER,4,1
bvb47,Antonios Papadopoulos,1,bvb,vfra,vfra,GER,1,1
bvb6,Salih Oezcan,1,bvb,koej,koe,GER,6,1
bvb7,Giovanni Reyna,1,bvb,nyfc,bvb,GER,10,1
bvb8,Mahmoud Dahoud,1,bvb,bmgj,bmg,GER,6,1
bvb9,Sebastien Haller,1,bvb,aux,aux,GER,10,1
fca1,Rafal Gikiewicz,1,fca,ols,wig,GER,1,1
fca10,Arne Maier,1,fca,bscj,bsc,GER,7,1
fca11,Mergim Berisha,1,fca,rbs,rbs,GER,4,1
fca13,Elvis Rexhbecaj,1,fca,wobj,wob,GER,4,1
fca14,Julian Baumgartlinger,1,fca,mu60,mu60,GER,3,1
fca16,Ruben Vargas,1,fca,luz,luz,GER,5,1
fca17,Noah Sarenren Bazee,1,fca,han,han,GER,1,1
fca19,Felix Udokhai,1,fca,mu60,mu60,GER,6,1
fca2,Robert Gumny,1,fca,lech,lech,GER,2,1
fca20,Daniel Caligiuri,1,fca,scfj,scf,GER,3,1
fca22,Iago,1,fca,inte,inte,GER,3,1
fca23,Maximilian Bauer,1,fca,fur,fur,GER,2,1
fca24,Fredrik Jensen,1,fca,twen,twen,GER,2,1
fca27,Arne Engels,1,fca,brue,brue,GER,1,1
fca28,Andre Hahn,1,fca,hsv,off,GER,4,1
